"gene_id","SYMBOL","baseMean","log2FoldChange","pvalue","padj"
"ENSRNOG00000030187","Mmp12",2210.56961532565,1.29479717984896,2.98352775503022e-08,0.000145079009634603
"ENSRNOG00000010507","Mmp7",51.4748044625028,1.50335313572399,2.36538832343293e-06,0.00690125697244793
"ENSRNOG00000032626","Mmp3",6.5201857005605,2.61412775692049,0.0160694937240244,0.854081761790116
"ENSRNOG00000016695","Mmp2",19530.102486847,-0.249566759240749,0.0225484299630313,0.956111705738945
"ENSRNOG00000013265","Tgfbr2",908.210436146892,0.390744792495206,0.0512713026005293,0.999925183485905
"ENSRNOG00000016758","Loxl2",827.560595697496,0.306473274662813,0.0526391275709117,0.999925183485905
"ENSRNOG00000018359","Smad7",572.373617636007,-0.351834091924138,0.0611889566350868,0.999925183485905
"ENSRNOG00000017539","Mmp9",95.0841043909149,1.45240426433576,0.0918533981413269,0.999925183485905
"ENSRNOG00000014288","Fn1",40755.9197279688,0.193731696977948,0.100046153662843,0.999925183485905
"ENSRNOG00000009867","Tgfb3",3541.47208039938,-0.210597657924426,0.184600342732913,0.999925183485905
"ENSRNOG00000007036","Tgfbr1",741.828310112026,0.252333963348827,0.220873391940716,0.999925183485905
"ENSRNOG00000014426","Lox",4366.12126212773,-0.144990009401831,0.264469848885507,0.999925183485905
"ENSRNOG00000008620","Smad3",391.067662958045,-0.147814209546748,0.378612140132856,0.999925183485905
"ENSRNOG00000001414","Serpine1",4714.62647626308,0.187511116160918,0.38988335834802,0.999925183485905
"ENSRNOG00000010208","Timp1",2848.48589713153,0.173820141698134,0.453195384840926,0.999925183485905
"ENSRNOG00000003357","Col3a1",283944.805003129,-0.107805920222648,0.466875359535016,0.999925183485905
"ENSRNOG00000012660","Postn",18305.9458085711,-0.145517659909255,0.476739507721046,0.999925183485905
"ENSRNOG00000051965","Smad4",326.029270336105,0.094170824617711,0.527541280167832,0.999925183485905
"ENSRNOG00000011292","Col1a2",290.977462097499,0.114279937191473,0.558485919609106,0.999925183485905
"ENSRNOG00000002418","Tgfb2",781.487272605871,-0.137303941742928,0.596810913324628,0.999925183485905
"ENSRNOG00000018140","Smad2",336.063342486277,0.0605712436436943,0.68317572364615,0.999925183485905
"ENSRNOG00000020652","Tgfb1",1397.4690019982,0.0556639112804348,0.801998050608664,0.999925183485905
"ENSRNOG00000058039","Acta2",14526.1441236862,-0.0488386019310638,0.813389702166723,0.999925183485905
"ENSRNOG00000033143","Timp2",6.47978308507663,0.154926988923472,0.851258232585423,0.999925183485905
"ENSRNOG00000003897","Col1a1",191234.252937551,0.0234148190506147,0.908546864653666,0.999925183485905
"ENSRNOG00000013589","Cxcl12",1818.9676394509,-0.00509618164142863,0.978555178447518,0.999925183485905
